"Period","Banks Total Loans","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Banks Total Loans to GDP","Mean_of_Ratio"
"Q4 2013",1473413,8.21124728996892,6.838958906202,1344591.75,128821.25,85274.6826923077,1170943.4375,302469.5625,221783.49609375,1781829,0.82691043865601,0.930360519381296
"Q1 2014",1479888,7.46018952183858,6.838958906202,1364071.33333333,115816.666666667,85274.6826923077,1189792.65625,290095.34375,221783.49609375,1795237,0.824341298669758,0.930360519381296
"Q2 2014",1503465,7.37494116916071,6.838958906202,1383551.66666667,119913.333333333,85274.6826923077,1208947.96875,294517.03125,221783.49609375,1822044,0.825152960082193,0.930360519381296
"Q3 2014",1527369,6.75750861472436,6.838958906202,1402685.83333333,124683.166666667,85274.6826923077,1228005,299364,221783.49609375,1830000,0.834627868852459,0.930360519381296
"Q4 2014",1530259,3.8581171742071,6.838958906202,1420690.16666667,109568.833333333,85274.6826923077,1246721.625,283537.375,221783.49609375,1869838,0.81839121891843,0.930360519381296
"Q1 2015",1546576,4.5062869622566,6.838958906202,1442038.83333333,104537.166666667,85274.6826923077,1265526.0625,281049.9375,221783.49609375,1898112,0.814797019353969,0.930360519381296
"Q2 2015",1564923,4.08775728068163,6.838958906202,1461463,103460,85274.6826923077,1284196.53125,280726.46875,221783.49609375,1909782,0.819424939600436,0.930360519381296
"Q3 2015",1593571,4.33438154106833,6.838958906202,1482426.08333333,111144.916666667,85274.6826923077,1301936.46875,291634.53125,221783.49609375,1945821,0.818971015319498,0.930360519381296
"Q4 2015",1633794,6.76584813420473,6.838958906202,1505108.25,128685.75,85274.6826923077,1320482.4375,313311.5625,221783.49609375,1984666,0.823208539875223,0.930360519381296
"Q1 2016",1648874,6.61448257311636,6.838958906202,1527751.91666667,121122.083333333,85274.6826923077,1339074.4375,309799.5625,221783.49609375,2011138,0.819871137634513,0.930360519381296
"Q2 2016",1691013,8.05726543734101,6.838958906202,1551986.25,139026.75,85274.6826923077,1357862,333151,221783.49609375,2026486,0.834455801816544,0.930360519381296
"Q3 2016",1732618,8.72549764020555,6.838958906202,1577146.91666667,155471.083333333,85274.6826923077,1377497.6875,355120.3125,221783.49609375,2052810,0.844022583677983,0.930360519381296
"Q4 2016",1775413,8.66810626064241,6.838958906202,1602313.58333333,173099.416666667,85274.6826923077,1397939.59375,377473.40625,221783.49609375,2078505,0.854177882660855,0.930360519381296
"Q1 2017",1778388,7.85469356664002,6.838958906202,1627188.58333333,151199.416666667,85274.6826923077,1418736.5625,359651.4375,221783.49609375,2108634,0.843383915843148,0.930360519381296
"Q2 2017",1809123,6.98457078685971,6.838958906202,1652660.08333333,156462.916666667,85274.6826923077,1439977.3125,369145.6875,221783.49609375,2158351,0.838196845647441,0.930360519381296
"Q3 2017",1810996,4.52367457800854,6.838958906202,1676295.66666667,134700.333333333,85274.6826923077,1460822.3125,350173.6875,221783.49609375,2165933,0.836127433304724,0.930360519381296
"Q4 2017",1852320,4.33178083071375,6.838958906202,1703134.08333333,149185.916666667,85274.6826923077,1482481.625,369838.375,221783.49609375,2208839,0.838594392800924,0.930360519381296
"Q1 2018",1848110,3.92051678261437,6.838958906202,1728261.91666667,119848.083333333,85274.6826923077,1504061.96875,344048.03125,221783.49609375,2220420,0.832324515181812,0.930360519381296
"Q2 2018",1880433,3.94168887355918,6.838958906202,1754554.41666667,125878.583333333,85274.6826923077,1524987.84375,355445.15625,221783.49609375,2266006,0.82984466943159,0.930360519381296
"Q3 2018",1899203,4.87063472255046,6.838958906202,1780023.75,119179.25,85274.6826923077,1545928.5625,353274.4375,221783.49609375,2310631,0.821941279243635,0.930360519381296
"Q4 2018",1952087,5.38605640494083,6.838958906202,1806548.16666667,145538.833333333,85274.6826923077,1568547.625,383539.375,221783.49609375,2339120,0.834539057423304,0.930360519381296
"Q1 2019",1959748,6.04065775305582,6.838958906202,1832454.33333333,127293.666666667,85274.6826923077,1590848.09375,368899.90625,221783.49609375,2356794,0.831531309057983,0.930360519381296
"Q2 2019",1982452,5.425293004324,6.838958906202,1856740.91666667,125711.083333333,85274.6826923077,1613121.5625,369330.4375,221783.49609375,2419600,0.819330467845925,0.930360519381296
"Q3 2019",2029768,6.87472587185256,6.838958906202,1881503.41666667,148264.583333333,85274.6826923077,1635996.84375,393771.15625,221783.49609375,2437374,0.832768381052723,0.930360519381296
"Q4 2019",2063126,5.68821983856252,6.838958906202,1905479.5,157646.5,85274.6826923077,1659400.5625,403725.4375,221783.49609375,2467822,0.836010863020104,0.930360519381296
