"Period","General Gov Gross Debt","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: General Gov Gross Debt to GDP","Mean_of_Ratio"
"Q2 2015",2199519,4.50972556871663,3.65886660965548,2081543.58333333,117975.416666667,82495.4479166667,1805258.9375,394260.0625,228011.432883523,1984920,1.10811468472281,1.0385999661551
"Q3 2015",2234401,5.31122979933186,3.65886660965548,2104896.58333333,129504.416666667,82495.4479166667,1832085.875,402315.125,228011.432883523,2000864,1.11671807779039,1.0385999661551
"Q4 2015",2252736,5.45810837570331,3.65886660965548,2127269.91666667,125466.083333333,82495.4479166667,1859190.8125,393545.1875,228011.432883523,1991680,1.13107326478149,1.0385999661551
"Q1 2016",2246644,4.63396527297166,3.65886660965548,2145039.5,101604.5,82495.4479166667,1885226,361418,228011.432883523,1998420,1.12421012599954,1.0385999661551
"Q2 2016",2264030,2.93295943340339,3.65886660965548,2161661.91666667,102368.083333333,82495.4479166667,1912337.21875,351692.78125,228011.432883523,2002152,1.13079826107109,1.0385999661551
"Q3 2016",2289797,2.47923268920843,3.65886660965548,2179312.91666667,110484.083333333,82495.4479166667,1939489.5625,350307.4375,228011.432883523,2035420,1.1249751893958,1.0385999661551
"Q4 2016",2284298,1.40105187647376,3.65886660965548,2196157.91666667,88140.0833333335,82495.4479166667,1964077.5,320220.5,228011.432883523,2066148,1.10558294952733,1.0385999661551
"Q1 2017",2293734,2.09601521202291,3.65886660965548,2214563.91666667,79170.0833333335,82495.4479166667,1986936.03125,306797.96875,228011.432883523,2107708,1.08825985383175,1.0385999661551
"Q2 2017",2320802,2.50756394570743,3.65886660965548,2232580.16666667,88221.8333333335,82495.4479166667,2010485.9375,310316.0625,228011.432883523,2130892,1.08912230183416,1.0385999661551
"Q3 2017",2339152,2.15543124565191,3.65886660965548,2250700.16666667,88451.8333333335,82495.4479166667,2033579.0625,305572.9375,228011.432883523,2143864,1.09109159909397,1.0385999661551
"Q4 2017",2350330,2.89069114450041,3.65886660965548,2268549.08333333,81780.9166666665,82495.4479166667,2056044.46875,294285.53125,228011.432883523,2181964,1.0771625929667,1.0385999661551
"Q1 2018",2372397,3.42947351349372,3.65886660965548,2287320,85077,82495.4479166667,2078027.5625,294369.4375,228011.432883523,2202260,1.07725563739068,1.0385999661551
"Q2 2018",2399835,3.40541760994691,3.65886660965548,2304013,95822,82495.4479166667,2100292.46875,299542.53125,228011.432883523,2219616,1.08119377405822,1.0385999661551
"Q3 2018",2408183,2.95111219792472,3.65886660965548,2318494.83333333,89688.1666666665,82495.4479166667,2121869.84375,286313.15625,228011.432883523,2244092,1.07312133370646,1.0385999661551
"Q4 2018",2433492,3.53831164134398,3.65886660965548,2333557.83333333,99934.1666666665,82495.4479166667,2143220.1875,290271.8125,228011.432883523,2229456,1.09151828966349,1.0385999661551
"Q1 2019",2453361,3.41275090130362,3.65886660965548,2350784.25,102576.75,82495.4479166667,2163995.34375,289365.65625,228011.432883523,2260360,1.08538507140455,1.0385999661551
"Q2 2019",2464047,2.67568395327179,3.65886660965548,2367452.33333333,96594.6666666665,82495.4479166667,2184401.5,279645.5,228011.432883523,2305088,1.06896005705639,1.0385999661551
"Q3 2019",2493682,3.55035310854698,3.65886660965548,2384442.75,109239.25,82495.4479166667,2204861.875,288820.125,228011.432883523,2312284,1.07844970600497,1.0385999661551
"Q4 2019",2491057,2.36553068594431,3.65886660965548,2401672.66666667,89384.3333333335,82495.4479166667,2224557.21875,266499.78125,228011.432883523,2337684,1.06560895313481,1.0385999661551
