"Period","Money Supply M2","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Money Supply M2 to GDP","Mean_of_Ratio"
"Q3 1996",449021,2.23611111111111,5.78232391104603,430267.75,18753.25,68287.9799679487,392307.65625,56713.34375,174357.442908654,864544,0.519373218714143,0.559288545922521
"Q4 1996",448420,1.65879624486798,5.78232391104603,433347.583333333,15072.4166666667,68287.9799679487,396934.03125,51485.96875,174357.442908654,877680,0.51091513991432,0.559288545922521
"Q1 1997",447800,0.342392083751613,5.78232391104603,436498.833333333,11301.1666666667,68287.9799679487,401264.6875,46535.3125,174357.442908654,891748,0.502159802993671,0.559288545922521
"Q2 1997",449574,0.0327083152547577,5.78232391104603,439527.416666667,10046.5833333333,68287.9799679487,405292.34375,44281.65625,174357.442908654,899412,0.499853237448466,0.559288545922521
"Q3 1997",445832,-0.710211771832498,5.78232391104603,441689.833333333,4142.16666666669,68287.9799679487,408867.6875,36964.3125,174357.442908654,912564,0.488548748361759,0.559288545922521
"Q4 1997",445465,-0.658980420141831,5.78232391104603,443636.833333333,1828.16666666669,68287.9799679487,412096.03125,33368.96875,174357.442908654,923980,0.482115413753544,0.559288545922521
"Q1 1998",440915,-1.53751674854846,5.78232391104603,444721.833333333,-3806.83333333331,68287.9799679487,414869.875,26045.125,174357.442908654,934612,0.471762613790536,0.559288545922521
"Q2 1998",441642,-1.76433690560397,5.78232391104603,445389.25,-3747.25,68287.9799679487,417537.46875,24104.53125,174357.442908654,935212,0.472237310898491,0.559288545922521
"Q3 1998",445747,-0.0190654775789984,5.78232391104603,445934.833333333,-187.833333333314,68287.9799679487,420116.28125,25630.71875,174357.442908654,938872,0.474768658560485,0.559288545922521
"Q4 1998",449237,0.846755637367694,5.78232391104603,446612.666666667,2624.33333333331,68287.9799679487,422574.53125,26662.46875,174357.442908654,953496,0.471147230822153,0.559288545922521
