"Period","Monetary Base","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Monetary Base to GDP","Mean_of_Ratio"
"Q3 2007",52625,5.14485514485514,4.82760090927788,49297.6666666667,3327.33333333334,3512.28044871795,44509.09375,8115.90625,9045.29567307692,1582248,0.0332596407137187,0.036270832949766
"Q4 2007",53089,4.33748673401203,4.82760090927788,49886.9166666667,3202.08333333334,3512.28044871795,44918.78125,8170.21875,9045.29567307692,1604508,0.0330874012469866,0.036270832949766
"Q1 2008",53349,3.28344917042573,4.82760090927788,50442.4166666667,2906.58333333334,3512.28044871795,45395.71875,7953.28125,9045.29567307692,1637296,0.0325836012547517,0.036270832949766
"Q2 2008",54003,3.49764268465637,4.82760090927788,50999.6666666667,3003.33333333334,3512.28044871795,45903,8100,9045.29567307692,1677448,0.0321935463871309,0.036270832949766
"Q3 2008",54767,4.07030878859857,4.82760090927788,51589.8333333333,3177.16666666666,3512.28044871795,46432.40625,8334.59375,9045.29567307692,1694512,0.0323202196266536,0.036270832949766
"Q4 2008",56850,7.08433008721204,4.82760090927788,52313.1666666667,4536.83333333334,3512.28044871795,47012.34375,9837.65625,9045.29567307692,1618908,0.0351162635554337,0.036270832949766
"Q1 2009",57265,7.34034377401638,4.82760090927788,53010.0833333333,4254.91666666666,3512.28044871795,47584.8125,9680.1875,9045.29567307692,1557232,0.0367735828701183,0.036270832949766
"Q2 2009",60601,12.2178397496435,4.82760090927788,53942.6666666667,6658.33333333334,3512.28044871795,48241.71875,12359.28125,9045.29567307692,1548488,0.0391355954970268,0.036270832949766
"Q3 2009",60951,11.2914711413808,4.82760090927788,54851.0833333333,6099.91666666666,3512.28044871795,48896.90625,12054.09375,9045.29567307692,1567924,0.038873695408706,0.036270832949766
"Q4 2009",61121,7.5127528583993,4.82760090927788,55704.3333333333,5416.66666666666,3512.28044871795,49532.84375,11588.15625,9045.29567307692,1611692,0.0379234990308322,0.036270832949766
"Q1 2010",61858,8.02060595477167,4.82760090927788,56554.75,5303.25,3512.28044871795,50173,11685,9045.29567307692,1644032,0.0376257883058237,0.036270832949766
"Q2 2010",59927,-1.11219286810449,4.82760090927788,57200.5,2726.5,3512.28044871795,50735.4375,9191.5625,9045.29567307692,1653240,0.0362482156250756,0.036270832949766
