"Period","Banks Total Assets","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Banks Total Assets to GDP","Mean_of_Ratio"
"Q4 2011",22137650,7.28958419661183,15.1876968378864,17642375,4495275,2226983.3349359,16079525.9375,6058124.0625,5497149.65024038,2993601000,0.00739499018072215,0.00701390800526172
"Q1 2012",23779650,14.941059213401,15.1876968378864,18588098.3333333,5191551.66666667,2226983.3349359,16472638.125,7307011.875,5497149.65024038,3034074000,0.00783753131927567,0.00701390800526172
"Q2 2012",25262140,15.7276388797267,15.1876968378864,19578225,5683915,2226983.3349359,16891008.125,8371131.875,5497149.65024038,3369939000,0.00749631966632037,0.00701390800526172
"Q3 2012",25752720,13.4515542542923,15.1876968378864,20648875.8333333,5103844.16666667,2226983.3349359,17277760.9375,8474959.0625,5497149.65024038,3363089000,0.00765746015047476,0.00701390800526172
"Q4 2012",28213820,27.4472222661394,15.1876968378864,21878073.3333333,6335746.66666667,2226983.3349359,17736932.1875,10476887.8125,5497149.65024038,3463672000,0.00814563850156712,0.00701390800526172
"Q1 2013",29386930,23.5801620292982,15.1876968378864,23113699.1666667,6273230.83333333,2226983.3349359,18235744.6875,11151185.3125,5497149.65024038,3444531000,0.00853147496712905,0.00701390800526172
"Q2 2013",29998050,18.7470657671915,15.1876968378864,24210303.3333333,5787746.66666667,2226983.3349359,18740902.8125,11257147.1875,5497149.65024038,3556729000,0.0084341680234845,0.00701390800526172
"Q3 2013",30470660,18.320161909111,15.1876968378864,25071000,5399660,2226983.3349359,19252436.5625,11218223.4375,5497149.65024038,3632454000,0.00838845034238562,0.00701390800526172
"Q4 2013",30319440,7.46308015008248,15.1876968378864,25878157.5,4441282.5,2226983.3349359,19835803.125,10483636.875,5497149.65024038,3608620000,0.0084019486673576,0.00701390800526172
"Q1 2014",30702030,4.47511870072852,15.1876968378864,26712613.3333333,3989416.66666667,2226983.3349359,20415178.75,10286851.25,5497149.65024038,3634642000,0.00844705750937782,0.00701390800526172
"Q2 2014",31290900,4.30978013570882,15.1876968378864,27501108.3333333,3789791.66666667,2226983.3349359,20956208.4375,10334691.5625,5497149.65024038,3831138000,0.00816752098201631,0.00701390800526172
"Q3 2014",31557420,3.56657847253719,15.1876968378864,28239284.1666667,3318135.83333333,2226983.3349359,21485633.75,10071786.25,5497149.65024038,3803821000,0.00829624212075174,0.00701390800526172
"Q4 2014",32976000,8.76190325414981,15.1876968378864,29142480,3833520,2226983.3349359,21950479.375,11025520.625,5497149.65024038,3865489000,0.00853087410156904,0.00701390800526172
"Q1 2015",33091420,7.78251470668226,15.1876968378864,29918460.8333333,3172959.16666667,2226983.3349359,22383724.6875,10707695.3125,5497149.65024038,3945430000,0.00838727844620231,0.00701390800526172
"Q2 2015",33191900,6.07524871448248,15.1876968378864,30579274.1666667,2612625.83333333,2226983.3349359,22842591.5625,10349308.4375,5497149.65024038,4400587000,0.00754260738396946,0.00701390800526172
"Q3 2015",33946860,7.57172164264379,15.1876968378864,31262119.1666667,2684740.83333333,2226983.3349359,23310075.3125,10636784.6875,5497149.65024038,4231010000,0.00802334667136216,0.00701390800526172
"Q4 2015",33945170,2.93901625424551,15.1876968378864,31739731.6666667,2205438.33333333,2226983.3349359,23752147.5,10193022.5,5497149.65024038,4446663000,0.0076338526216176,0.00701390800526172
"Q1 2016",34773680,5.08367425755679,15.1876968378864,32188627.5,2585052.5,2226983.3349359,24223424.0625,10550255.9375,5497149.65024038,4408877000,0.00788719667162409,0.00701390800526172
"Q2 2016",34980450,5.3885134626219,15.1876968378864,32603827.5,2376622.5,2226983.3349359,24792474.6875,10187975.3125,5497149.65024038,4746113000,0.00737033652591078,0.00701390800526172
"Q3 2016",34826620,2.5915798987005,15.1876968378864,32966824.1666667,1859795.83333333,2226983.3349359,25425700,9400920,5497149.65024038,4607246000,0.00755909712656976,0.00701390800526172
"Q4 2016",35893310,5.7390786376972,15.1876968378864,33431313.3333333,2461996.66666667,2226983.3349359,26127114.6875,9766195.3125,5497149.65024038,4761448000,0.00753831817547939,0.00701390800526172
"Q1 2017",36761300,5.71587476505219,15.1876968378864,33936252.5,2825047.5,2226983.3349359,26887437.5,9873862.5,5497149.65024038,4731945000,0.00776875048209563,0.00701390800526172
"Q2 2017",38949680,11.346995250204,15.1876968378864,34574484.1666667,4375195.83333334,2226983.3349359,27686470.625,11263209.375,5497149.65024038,4735316000,0.00822536025050915,0.00701390800526172
"Q3 2017",40781100,17.0974961107337,15.1876968378864,35343124.1666667,5437975.83333334,2226983.3349359,28557601.5625,12223498.4375,5497149.65024038,4924436000,0.00828137476048019,0.00701390800526172
"Q4 2017",41090770,14.4803028753826,15.1876968378864,36019355,5071415,2226983.3349359,29420955.3125,11669814.6875,5497149.65024038,4881830000,0.00841708334784292,0.00701390800526172
"Q1 2018",42250990,14.9333402246384,15.1876968378864,36782652.5,5468337.5,2226983.3349359,30286316.875,11964673.125,5497149.65024038,4990935000,0.00846554603496139,0.00701390800526172
"Q2 2018",41878690,7.51998475982344,15.1876968378864,37506551.6666667,4372138.33333334,2226983.3349359,31068813.4375,10809876.5625,5497149.65024038,5094728000,0.00822000507190963,0.00701390800526172
"Q3 2018",43016180,5.48067609750595,15.1876968378864,38262328.3333333,4753851.66666666,2226983.3349359,31783622.1875,11232557.8125,5497149.65024038,5143400000,0.00836337442158883,0.00701390800526172
"Q4 2018",44098340,7.31933229773986,15.1876968378864,39108425.8333333,4989914.16666666,2226983.3349359,32516896.875,11581443.125,5497149.65024038,5216739000,0.00845323869950174,0.00701390800526172
"Q1 2019",45560160,7.83217150651381,15.1876968378864,40007299.1666667,5552860.83333334,2226983.3349359,33294134.375,12266025.625,5497149.65024038,5367407000,0.00848829984385384,0.00701390800526172
"Q2 2019",46032260,9.91809915735187,15.1876968378864,40928283.3333333,5103976.66666666,2226983.3349359,34050487.5,11981772.5,5497149.65024038,5474972000,0.00840776172005994,0.00701390800526172
"Q3 2019",46846780,8.90502131988475,15.1876968378864,41929963.3333333,4916816.66666666,2226983.3349359,34805095.9375,12041684.0625,5497149.65024038,5595210000,0.00837265804143187,0.00701390800526172
"Q4 2019",47146110,6.91130323726471,15.1876968378864,42867696.6666667,4278413.33333334,2226983.3349359,35586610.3125,11559499.6875,5497149.65024038,5706121000,0.00826237473758443,0.00701390800526172
