"Period","Payments Cross-Border Financial Liabilities","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Payments Cross-Border Financial Liabilities to GDP","Mean_of_Ratio"
"Q2 2011",21509,7.13787607093046,4.58713488731415,20547.25,961.75,1286.76799242424,19930,1579,3172.24822443182,1759852,0.0122220504906094,0.0138480630675787
"Q3 2011",22408,5.44941176470588,4.58713488731415,20502.5833333333,1905.41666666667,1286.76799242424,20161.6875,2246.3125,3172.24822443182,1785748,0.0125482430891705,0.0138480630675787
"Q4 2011",23783,9.63949843260188,4.58713488731415,20629.6666666667,3153.33333333333,1286.76799242424,20452.59375,3330.40625,3172.24822443182,1812700,0.0131202074253875,0.0138480630675787
"Q1 2012",23501,2.90756228926742,4.58713488731415,21081.3333333333,2419.66666666667,1286.76799242424,20705.1875,2795.8125,3172.24822443182,1815120,0.0129473533430297,0.0138480630675787
"Q2 2012",22523,4.71430563949974,4.58713488731415,21446.3333333333,1076.66666666667,1286.76799242424,20860.59375,1662.40625,3172.24822443182,1818984,0.0123821869791048,0.0138480630675787
"Q3 2012",24123,7.65351660121385,4.58713488731415,21931.25,2191.75,1286.76799242424,21100.71875,3022.28125,3172.24822443182,1830636,0.0131773875308909,0.0138480630675787
"Q4 2012",25519,7.29933145524114,4.58713488731415,22522.75,2996.25,1286.76799242424,21432.59375,4086.40625,3172.24822443182,1844064,0.013838456799764,0.0138480630675787
"Q1 2013",23637,0.578698778775371,4.58713488731415,22738.1666666667,898.833333333332,1286.76799242424,21603.1875,2033.8125,3172.24822443182,1876844,0.0125940142068281,0.0138480630675787
"Q2 2013",24343,8.08062869067176,4.58713488731415,23093.75,1249.25,1286.76799242424,21780.875,2562.125,3172.24822443182,1886592,0.0129031608318068,0.0138480630675787
"Q3 2013",24339,0.895411018530034,4.58713488731415,23351.1666666667,987.833333333332,1286.76799242424,21953,2386,3172.24822443182,1912428,0.0127267536346466,0.0138480630675787
"Q4 2013",25983,1.81825306634272,4.58713488731415,23708.75,2274.25,1286.76799242424,22176.21875,3806.78125,3172.24822443182,1933124,0.0134409380877792,0.0138480630675787
"Q1 2014",27459,16.1695646655667,4.58713488731415,24093.9166666667,3365.08333333333,1286.76799242424,22387.6875,5071.3125,3172.24822443182,1963452,0.0139850630420301,0.0138480630675787
"Q2 2014",27491,12.9318489914965,4.58713488731415,24592.4166666667,2898.58333333333,1286.76799242424,22622.40625,4868.59375,3172.24822443182,1988404,0.0138256611835422,0.0138480630675787
"Q3 2014",25906,6.4382267143268,4.58713488731415,24883.9166666667,1022.08333333333,1286.76799242424,22792.5625,3113.4375,3172.24822443182,2013792,0.0128642878708427,0.0138480630675787
"Q4 2014",26251,1.03144363622368,4.58713488731415,25089.5833333333,1161.41666666667,1286.76799242424,22950.71875,3300.28125,3172.24822443182,2013944,0.013034622611155,0.0138480630675787
"Q1 2015",26417,-3.79474853417823,4.58713488731415,25332.5833333333,1084.41666666667,1286.76799242424,23022.375,3394.625,3172.24822443182,1984300,0.0133130071057804,0.0138480630675787
"Q2 2015",26430,-3.85944490924303,4.58713488731415,25658.1666666667,771.833333333332,1286.76799242424,23101.53125,3328.46875,3172.24822443182,1984920,0.0133153981016867,0.0138480630675787
"Q3 2015",26742,3.22705164826681,4.58713488731415,25876.4166666667,865.583333333332,1286.76799242424,23210.4375,3531.5625,3172.24822443182,2000864,0.013365226222272,0.0138480630675787
"Q4 2015",25411,-3.19987809988191,4.58713488731415,25867.4166666667,-456.416666666668,1286.76799242424,23301.5,2109.5,3172.24822443182,1991680,0.0127585756748072,0.0138480630675787
"Q1 2016",25373,-3.95200060567059,4.58713488731415,26012.0833333333,-639.083333333332,1286.76799242424,23381.78125,1991.21875,3172.24822443182,1998420,0.0126965302589045,0.0138480630675787
"Q2 2016",25070,-5.14566780174045,4.58713488731415,26072.6666666667,-1002.66666666667,1286.76799242424,23414.875,1655.125,3172.24822443182,2002152,0.0125215268371233,0.0138480630675787
"Q3 2016",27107,1.36489417395857,4.58713488731415,26303.3333333333,803.666666666668,1286.76799242424,23544.96875,3562.03125,3172.24822443182,2035420,0.0133176445156282,0.0138480630675787
"Q4 2016",28962,13.9742631143993,4.58713488731415,26551.5833333333,2410.41666666667,1286.76799242424,23754.46875,5207.53125,3172.24822443182,2066148,0.014017388880177,0.0138480630675787
"Q1 2017",29090,14.649430496985,4.58713488731415,26687.5,2402.5,1286.76799242424,24098.5,4991.5,3172.24822443182,2107708,0.0138017220601715,0.0138480630675787
"Q2 2017",29277,16.7810131631432,4.58713488731415,26836.3333333333,2440.66666666667,1286.76799242424,24446.4375,4830.5625,3172.24822443182,2130892,0.0137393166805263,0.0138480630675787
"Q3 2017",29859,10.1523591692183,4.58713488731415,27165.75,2693.25,1286.76799242424,24807.53125,5051.46875,3172.24822443182,2143864,0.0139276558587672,0.0138480630675787
"Q4 2017",32442,12.0157447690077,4.58713488731415,27681.6666666667,4760.33333333333,1286.76799242424,25245.6875,7196.3125,3172.24822443182,2181964,0.0148682563048703,0.0138480630675787
"Q1 2018",32012,10.044688896528,4.58713488731415,28147.9166666667,3864.08333333333,1286.76799242424,25588.1875,6423.8125,3172.24822443182,2202260,0.014535976678503,0.0138480630675787
"Q2 2018",33586,14.7180380503467,4.58713488731415,28744.25,4841.75,1286.76799242424,26010.375,7575.625,3172.24822443182,2219616,0.0151314461600565,0.0138480630675787
"Q3 2018",34776,16.4673967647945,4.58713488731415,29413.75,5362.25,1286.76799242424,26433.0625,8342.9375,3172.24822443182,2244092,0.0154966908665064,0.0138480630675787
"Q4 2018",35805,10.3661919733679,4.58713488731415,30279.9166666667,5525.08333333333,1286.76799242424,26874.09375,8930.90625,3172.24822443182,2229456,0.0160599715805111,0.0138480630675787
"Q1 2019",36673,14.5601649381482,4.58713488731415,31221.5833333333,5451.41666666667,1286.76799242424,27306.46875,9366.53125,3172.24822443182,2260360,0.0162244067316711,0.0138480630675787
"Q2 2019",37221,10.8229619484309,4.58713488731415,32234.1666666667,4986.83333333333,1286.76799242424,27797.46875,9423.53125,3172.24822443182,2305088,0.0161473227920149,0.0138480630675787
"Q3 2019",36610,5.27375201288245,4.58713488731415,33026.0833333333,3583.91666666666,1286.76799242424,28241.28125,8368.71875,3172.24822443182,2312284,0.0158328302232771,0.0138480630675787
"Q4 2019",37914,5.8902387934646,4.58713488731415,33772.0833333333,4141.91666666666,1286.76799242424,28682.875,9231.125,3172.24822443182,2337684,0.0162186163741549,0.0138480630675787
